Entidad federativa,Clave de municipio,Municipio,"Población 2010*
(leer nota al final del cuadro)","Población 2015*
(leer nota al final del cuadro)","Población 2020*
(leer nota al final del cuadro)","Porcentaje
2010","Porcentaje
2015","Porcentaje
2020","Personas
2010","Personas
2015","Personas
2020","Carencias promedio
2010","Carencias promedio
2015","Carencias promedio
2020",Idmunicipio
Chiapas,7002,Acala,"36,736","31,527","17,543",86.7,74.9,77.5,"31,847","23,614","13,600",3.3,2.7,2.9,2
Chiapas,7003,Acapetahua,"33,239","38,014","30,494",81.5,74.0,57.9,"27,092","28,139","17,669",3.1,3.0,2.8,3
Chiapas,7004,Altamirano,"25,598","33,252","35,184",85.1,95.1,94.6,"21,779","31,617","33,297",3.8,2.9,2.7,4
Chiapas,7005,Amatán,"25,815","14,394","26,413",95.7,91.9,90.4,"24,716","13,224","23,889",3.2,2.7,3.0,5
Chiapas,7006,Amatenango de La Frontera,"26,880","26,554","32,876",86.7,83.7,80.3,"23,293","22,238","26,402",2.8,2.7,2.5,6
Chiapas,7007,Amatenango del Valle,"8,360","10,030","11,394",96.3,95.6,94.3,"8,051","9,593","10,742",3.9,2.9,2.6,7
Chiapas,7008,Angel Albino Corzo,"31,133","19,894","30,292",92.1,89.2,85.0,"28,680","17,743","25,737",3.4,2.9,2.7,8
Chiapas,7009,Arriaga,"48,842","49,666","44,306",69.3,65.1,62.1,"33,826","32,318","27,514",2.8,2.5,2.7,9
Chiapas,7010,Bejucal de Ocampo,"8,620","7,581","7,437",93.8,97.1,93.9,"8,087","7,362","6,982",2.8,2.4,2.2,10
Chiapas,7011,Bella Vista,"17,595","14,326","19,652",94.0,88.8,82.6,"16,541","12,727","16,236",2.8,2.7,2.3,11
Chiapas,7012,Berriozábal,"43,297","54,465","68,901",76.9,66.5,61.6,"33,306","36,233","42,472",3.2,2.7,2.9,12
Chiapas,7013,Bochil,"29,776","25,752","35,167",87.2,82.4,78.3,"25,953","21,211","27,527",4.0,2.9,3.0,13
Chiapas,7014,El Bosque,"18,671","22,871","24,512",97.1,98.0,96.3,"18,134","22,403","23,597",3.5,3.2,2.7,14
Chiapas,7015,Cacahoatán,"41,780","40,968","51,214",70.0,74.1,76.6,"29,256","30,342","39,247",2.9,2.8,2.9,15
Chiapas,7016,Catazajá,"17,276","20,950","22,056",76.2,76.1,67.4,"13,171","15,933","14,867",2.4,2.8,3.1,16
Chiapas,7017,Cintalapa,"79,495","90,776","88,215",80.7,70.1,72.0,"64,190","63,606","63,472",3.1,2.5,2.6,17
Chiapas,7018,Coapilla,"7,374","9,318","9,997",90.8,95.1,82.9,"6,699","8,864","8,288",3.0,2.4,2.7,18
Chiapas,7019,Comitán de Domínguez,"149,562","173,188","168,305",66.7,66.5,68.8,"99,741","115,243","115,746",2.6,2.5,2.5,19
Chiapas,7020,La Concordia,"56,467","42,203","52,035",87.1,86.3,76.2,"49,202","36,430","39,669",3.4,3.0,2.8,20
Chiapas,7021,Copainalá,"22,242","19,587","22,344",79.2,78.8,74.8,"17,620","15,439","16,709",2.5,2.5,2.5,21
Chiapas,7022,Chalchihuitán,"13,975","16,999","22,131",99.2,99.3,98.9,"13,858","16,875","21,881",4.0,3.4,3.6,22
Chiapas,7023,Chamula,"76,503","88,356","102,970",99.1,96.7,96.3,"75,846","85,402","99,178",3.9,3.3,3.0,23
Chiapas,7024,Chanal,"10,754","12,322","13,813",99.1,99.6,99.1,"10,660","12,270","13,690",3.4,3.2,3.2,24
Chiapas,7025,Chapultenango,"8,308","7,734","7,546",89.6,91.6,86.1,"7,442","7,082","6,498",2.9,2.6,2.6,25
Chiapas,7026,Chenalhó,"35,399","40,110","47,837",97.6,98.9,98.6,"34,549","39,654","47,180",3.6,3.4,3.2,26
Chiapas,7027,Chiapa de Corzo,"82,617","125,567","107,948",69.1,59.3,60.5,"57,054","74,488","65,280",3.0,2.8,2.7,27
Chiapas,7028,Chiapilla,"4,298","5,967","6,217",84.0,91.2,82.6,"3,610","5,445","5,136",2.6,2.8,2.5,28
Chiapas,7029,Chicoasén,"5,270","5,057","5,455",84.3,73.2,77.7,"4,445","3,701","4,236",2.8,2.3,2.6,29
Chiapas,7030,Chicomuselo,"27,650","33,063","37,208",91.6,84.9,81.6,"25,331","28,056","30,348",3.3,2.9,2.8,30
Chiapas,7031,Chilón,"109,232","129,377","135,413",97.4,98.2,96.9,"106,427","127,108","131,197",3.7,3.2,2.9,31
Chiapas,7032,Escuintla,"33,130","32,181","31,274",83.0,78.3,70.5,"27,514","25,201","22,039",2.9,2.7,2.7,32
Chiapas,7033,Francisco León,"7,000","7,517","7,316",94.1,95.1,86.5,"6,590","7,147","6,329",2.7,2.9,2.9,33
Chiapas,7034,Frontera Comalapa,"67,371","71,703","88,106",73.3,81.2,77.6,"49,379","58,239","68,329",3.1,2.9,2.8,34
Chiapas,7035,Frontera Hidalgo,"13,688","20,353","15,779",69.5,70.0,69.1,"9,518","14,249","10,908",2.9,3.2,2.8,35
Chiapas,7036,La Grandeza,"9,536","7,137","7,777",91.5,90.0,88.4,"8,729","6,423","6,877",2.9,2.3,1.8,36
Chiapas,7037,Huehuetán,"33,773","49,044","43,293",80.5,63.6,56.2,"27,201","31,196","24,321",3.0,2.9,2.8,37
Chiapas,7038,Huixtán,"21,241","14,635","22,207",96.6,92.7,96.6,"20,518","13,574","21,463",3.2,3.1,2.7,38
Chiapas,7039,Huitiupán,"20,120","13,410","27,143",94.6,93.9,94.1,"19,035","12,586","25,552",3.3,3.0,3.3,39
Chiapas,7040,Huixtla,"54,846","52,110","58,546",71.3,68.3,57.0,"39,102","35,596","33,361",3.0,2.6,2.7,40
Chiapas,7041,La Independencia,"30,211","32,747","48,650",95.2,91.5,91.6,"28,750","29,954","44,562",3.0,2.8,2.6,41
Chiapas,7042,Ixhuatán,"11,454","8,493","11,325",91.9,88.7,84.8,"10,521","7,533","9,603",3.0,2.6,2.5,42
Chiapas,7043,Ixtacomitán,"9,732","10,738","12,660",83.5,77.2,65.7,"8,122","8,285","8,314",2.5,2.6,2.7,43
Chiapas,7044,Ixtapa,"21,541","17,580","28,213",91.7,87.7,87.0,"19,760","15,421","24,547",3.3,3.0,3.0,44
Chiapas,7045,Ixtapangajoya,"5,475","5,447","6,346",78.6,74.7,71.9,"4,306","4,071","4,563",2.9,2.9,3.0,45
Chiapas,7046,Jiquipilas,"39,051","43,475","45,508",73.7,74.9,64.6,"28,792","32,562","29,407",2.6,2.7,2.9,46
Chiapas,7047,Jitotol,"13,558","20,839","28,162",92.9,94.7,94.6,"12,602","19,740","26,632",3.7,3.0,2.8,47
Chiapas,7048,Juárez,"33,364","30,661","26,840",70.9,59.4,54.6,"23,659","18,205","14,664",2.9,2.5,2.7,48
Chiapas,7049,Larráinzar,"19,240","24,170","31,567",97.6,98.5,95.7,"18,783","23,797","30,219",3.6,2.7,2.5,49
Chiapas,7050,La Libertad,"5,431","4,966","5,283",63.0,63.3,42.8,"3,421","3,146","2,260",2.6,3.0,3.1,50
Chiapas,7051,Mapastepec,"49,802","60,433","52,678",74.6,73.1,70.8,"37,141","44,184","37,320",3.1,2.8,2.9,51
Chiapas,7052,Las Margaritas,"117,248","76,741","127,085",93.9,90.8,94.1,"110,129","69,646","119,561",3.3,2.9,2.7,52
Chiapas,7053,Mazapa de Madero,"7,949","7,855","7,979",85.4,86.9,82.6,"6,790","6,823","6,588",2.6,2.1,2.0,53
Chiapas,7054,Mazatán,"37,514","37,882","31,641",74.0,73.7,56.3,"27,751","27,925","17,812",3.1,3.0,3.0,54
Chiapas,7055,Metapa,"4,915","5,797","5,934",75.1,68.6,60.0,"3,689","3,977","3,560",2.7,2.7,3.0,55
Chiapas,7056,Mitontic,"11,144","12,046","13,890",97.8,98.2,98.4,"10,895","11,827","13,667",3.5,2.9,2.7,56
Chiapas,7057,Motozintla,"63,581","42,817","64,118",83.4,82.3,71.2,"53,048","35,244","45,632",2.8,2.3,2.0,57
Chiapas,7058,Nicolás Ruíz,"4,200","4,311","4,812",98.8,99.4,96.6,"4,149","4,285","4,651",3.9,3.4,2.9,58
Chiapas,7059,Ocosingo,"167,406","149,833","226,190",90.8,86.5,92.5,"152,007","129,538","209,226",3.3,3.1,3.0,59
Chiapas,7060,Ocotepec,"11,862","7,086","14,227",96.5,95.5,92.0,"11,443","6,769","13,087",3.4,3.1,3.0,60
Chiapas,7061,Ocozocoautla de Espinosa,"84,747","84,432","96,583",79.7,74.7,72.5,"67,556","63,081","70,070",3.4,2.9,2.7,61
Chiapas,7062,Ostuacán,"18,340","26,801","22,959",82.9,67.7,58.3,"15,204","18,150","13,384",2.5,2.7,2.9,62
Chiapas,7063,Osumacinta,"3,777","3,724","4,022",73.9,73.8,69.2,"2,790","2,748","2,785",2.4,2.5,2.5,63
Chiapas,7064,Oxchuc,"38,500","27,538","55,473",96.2,97.4,98.1,"37,055","26,817","54,407",3.1,3.4,2.9,64
Chiapas,7065,Palenque,"121,227","126,000","141,634",85.8,77.0,69.9,"103,968","96,960","98,967",3.3,3.0,3.0,65
Chiapas,7066,Pantelhó,"20,127","22,264","26,651",97.0,98.4,97.8,"19,520","21,904","26,060",3.9,3.4,3.2,66
Chiapas,7067,Pantepec,"10,829","8,268","12,071",94.1,91.9,88.8,"10,189","7,601","10,715",2.9,2.9,2.9,67
Chiapas,7068,Pichucalco,"36,872","40,936","35,523",69.6,64.3,61.0,"25,659","26,308","21,652",2.4,2.6,2.7,68
Chiapas,7069,Pijijiapan,"69,467","74,507","57,796",77.8,71.1,68.3,"54,037","52,973","39,452",3.0,3.0,2.9,69
Chiapas,7070,El Porvenir,"12,380","5,831","9,590",91.4,94.1,94.6,"11,310","5,487","9,075",2.6,2.1,1.8,70
Chiapas,7071,Villa Comaltitlán,"30,147","43,792","38,577",83.6,67.3,55.4,"25,190","29,464","21,389",3.1,3.0,3.1,71
Chiapas,7072,Pueblo Nuevo Solistahuacán,"29,767","19,233","26,573",92.0,90.2,92.1,"27,397","17,352","24,472",3.5,2.9,2.9,72
Chiapas,7073,Rayón,"8,698","9,689","10,471",92.0,91.2,85.3,"8,003","8,840","8,934",3.2,2.6,2.7,73
Chiapas,7074,Reforma,"46,586","56,114","46,785",61.8,52.6,56.8,"28,789","29,526","26,566",2.9,2.5,2.9,74
Chiapas,7075,Las Rosas,"29,615","23,878","28,185",88.0,87.4,89.6,"26,060","20,861","25,259",2.9,3.1,2.8,75
Chiapas,7076,Sabanilla,"25,338","27,236","32,151",97.5,98.5,93.4,"24,703","26,823","30,029",3.5,3.1,2.5,76
Chiapas,7077,Salto de Agua,"47,902","43,409","66,983",96.1,90.9,86.4,"46,022","39,456","57,855",3.2,3.0,2.9,77
Chiapas,7078,San Cristóbal de Las Casas,"191,228","206,839","208,888",67.7,60.0,66.1,"129,492","124,102","138,107",3.0,2.4,2.7,78
Chiapas,7079,San Fernando,"39,584","43,486","42,802",80.9,68.2,62.2,"32,033","29,665","26,624",2.9,2.6,2.7,79
Chiapas,7080,Siltepec,"24,469","15,527","18,455",94.4,92.9,91.9,"23,110","14,422","16,959",2.7,2.2,1.8,80
Chiapas,7081,Simojovel,"41,455","44,776","51,759",93.8,95.9,95.4,"38,893","42,928","49,356",3.9,3.3,3.2,81
Chiapas,7082,Sitalá,"11,963","13,998","15,671",97.1,98.0,97.2,"11,611","13,720","15,228",3.8,3.1,3.5,82
Chiapas,7083,Socoltenango,"14,796","21,222","20,042",88.3,78.9,73.9,"13,066","16,750","14,804",3.0,2.9,2.6,83
Chiapas,7084,Solosuchiapa,"8,718","8,176","8,645",82.0,86.9,75.5,"7,149","7,109","6,530",2.4,2.7,2.6,84
Chiapas,7085,Soyaló,"12,336","7,352","9,626",92.3,89.0,90.4,"11,390","6,546","8,705",3.0,2.6,2.6,85
Chiapas,7086,Suchiapa,"19,633","26,389","25,932",80.8,70.2,70.9,"15,865","18,520","18,395",3.1,2.7,2.9,86
Chiapas,7087,Suchiate,"37,454","53,113","41,990",81.8,68.6,62.7,"30,627","36,450","26,347",3.5,3.4,3.1,87
Chiapas,7088,Sunuapa,"2,210","2,310","2,331",83.7,76.2,66.3,"1,849","1,760","1,546",2.8,2.6,2.8,88
Chiapas,7089,Tapachula,"345,300","403,754","361,784",64.9,54.4,58.5,"224,120","219,626","211,623",3.0,2.6,2.8,89
Chiapas,7090,Tapalapa,"4,095","3,883","4,592",88.5,89.5,78.8,"3,622","3,474","3,618",3.0,2.8,2.7,90
Chiapas,7091,Tapilula,"11,595","13,755","13,807",86.4,73.3,73.1,"10,016","10,085","10,095",2.7,2.2,2.5,91
Chiapas,7092,Tecpatán,"57,994","40,398","23,836",83.2,82.6,83.2,"48,231","33,353","19,840",3.3,2.9,3.0,92
Chiapas,7093,Tenejapa,"32,943","44,106","48,636",98.4,97.6,97.1,"32,431","43,061","47,216",3.2,2.9,2.7,93
Chiapas,7094,Teopisca,"49,349","32,020","42,484",88.7,89.8,91.6,"43,765","28,767","38,906",3.2,3.0,2.7,94
Chiapas,7096,Tila,"57,122","78,446","75,471",96.8,97.5,98.1,"55,307","76,480","74,015",3.8,3.2,3.0,96
Chiapas,7097,Tonalá,"111,808","112,791","95,427",76.4,69.8,60.9,"85,463","78,724","58,153",3.0,2.8,2.7,97
Chiapas,7098,Totolapa,"4,911","7,370","7,282",95.8,96.7,94.1,"4,707","7,129","6,855",3.4,3.3,2.9,98
Chiapas,7099,La Trinitaria,"57,141","63,643","91,465",89.5,85.7,87.8,"51,162","54,574","80,267",3.0,2.8,2.6,99
Chiapas,7100,Tumbalá,"31,169","34,701","38,399",97.3,97.9,95.8,"30,339","33,963","36,799",3.6,2.9,2.8,100
Chiapas,7101,Tuxtla Gutiérrez,"567,486","701,522","584,797",46.7,41.9,46.2,"265,017","294,119","270,010",2.6,2.2,2.4,101
Chiapas,7102,Tuxtla Chico,"38,011","58,597","48,428",67.0,63.2,64.6,"25,449","37,033","31,276",2.8,2.8,2.9,102
Chiapas,7103,Tuzantán,"24,321","33,305","33,853",85.0,79.5,68.8,"20,682","26,486","23,281",3.3,3.0,3.0,103
Chiapas,7104,Tzimol,"16,117","13,521","17,991",86.7,83.9,81.0,"13,980","11,338","14,568",2.8,2.5,2.5,104
Chiapas,7105,Unión Juárez,"12,817","11,371","16,313",81.1,80.1,70.0,"10,393","9,113","11,417",2.8,2.7,2.5,105
Chiapas,7106,Venustiano Carranza,"72,885","53,913","66,412",89.6,84.0,85.3,"65,312","45,261","56,661",3.6,3.0,3.4,106
Chiapas,7107,Villa Corzo,"68,909","77,515","66,434",86.5,83.2,81.7,"59,593","64,466","54,298",3.3,2.9,3.0,107
Chiapas,7108,Villaflores,"108,456","118,526","114,882",82.3,72.9,69.5,"89,257","86,448","79,866",3.0,2.6,2.8,108
Chiapas,7109,Yajalón,"40,046","29,595","37,226",89.1,78.7,90.4,"35,685","23,289","33,653",3.6,2.9,2.7,109
Chiapas,7110,San Lucas,"7,364","7,287","7,600",95.7,97.6,87.8,"7,049","7,115","6,671",3.3,3.0,3.2,110
Chiapas,7111,Zinacantán,"35,510","41,594","45,819",96.8,98.4,96.8,"34,372","40,915","44,375",3.7,3.1,3.1,111
Chiapas,7112,San Juan Cancuc,"28,706","35,238","38,321",99.4,99.6,99.3,"28,533","35,086","38,036",4.3,3.4,3.1,112
Chiapas,7113,Aldama,"4,746","6,791","8,563",98.9,99.6,98.9,"4,693","6,764","8,473",3.7,2.7,3.0,113
Chiapas,7114,Benemérito de Las Américas,"16,036","16,588","25,505",83.4,87.5,75.8,"13,367","14,518","19,345",2.7,3.0,2.8,114
Chiapas,7115,Maravilla Tenejapa,"9,708","13,089","14,859",95.2,96.0,95.4,"9,242","12,567","14,170",3.2,2.9,3.0,115
Chiapas,7116,Marqués de Comillas,"10,582","12,939","13,168",91.2,82.3,77.2,"9,652","10,649","10,161",3.1,3.1,2.6,116
Chiapas,7117,Montecristo de Guerrero,"8,200","7,761","8,495",96.9,96.6,92.5,"7,948","7,496","7,861",2.6,2.5,2.1,117
Chiapas,7118,San Andrés Duraznal,"4,535","5,224","6,107",95.0,99.5,98.5,"4,308","5,198","6,017",3.0,2.9,2.9,118
Chiapas,7119,Santiago El Pinar,"3,104","3,727","5,008",99.1,99.0,97.3,"3,076","3,690","4,872",3.3,2.7,3.1,119
Chiapas,7120,Capitán Luis Ángel Vidal,0,0,"4,357",0.0,0.0,92.1,0,0,"4,013",0.0,0.0,2.1,120
Chiapas,7121,Rincón Chamula San Pedro,0,0,"8,804",0.0,0.0,97.9,0,0,"8,618",0.0,0.0,3.1,121
Chiapas,7122,El Parral,0,0,"15,267",0.0,0.0,77.6,0,0,"11,848",0.0,0.0,2.7,122
Chiapas,7123,Emiliano Zapata,0,0,"11,710",0.0,0.0,72.2,0,0,"8,455",0.0,0.0,3.0,123
Chiapas,7124,Mezcalapa,0,0,"25,177",0.0,0.0,79.7,0,0,"20,067",0.0,0.0,2.8,124
Chiapas,7125,Honduras de la Sierra,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,125
